online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",300,Delivery,HSR
No,No,,0,HSR,Delivery,North Indian,300,Delivery,HSR
No,No,,0,HSR,Delivery,North Indian,300,Delivery,HSR
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",300,Delivery,HSR
No,No,,0,HSR,Delivery,North Indian,300,Delivery,HSR
No,No,,0,HSR,Delivery,North Indian,300,Delivery,HSR
Yes,No,3.9/5,450,HSR,Casual Dining,"North Indian, Chinese, Biryani",550,Delivery,HSR
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Delivery,HSR
Yes,No,,0,HSR,Delivery,North Indian,500,Delivery,HSR
Yes,No,,0,HSR,Delivery,North Indian,500,Delivery,HSR
Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,200,Delivery,HSR
Yes,No,3.9/5,450,HSR,Casual Dining,"North Indian, Chinese, Biryani",550,Delivery,HSR
No,No,,0,HSR,Dessert Parlor,Desserts,200,Desserts,HSR
No,No,,0,HSR,Dessert Parlor,Desserts,200,Desserts,HSR
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",400,Dine-out,HSR
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",400,Dine-out,HSR
No,No,4.2/5,583,Indiranagar,Cafe,"Cafe, Desserts",700,Cafes,Indiranagar
No,No,4.2/5,583,Indiranagar,Cafe,"Cafe, Desserts",700,Cafes,Indiranagar
Yes,No,3.3/5,110,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery,Indiranagar
Yes,No,3.3/5,110,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Delivery,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Delivery,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Delivery,Indiranagar
No,Yes,4.4/5,953,Indiranagar,"Fine Dining, Bar","Modern Indian, European, American","2,500",Dine-out,Indiranagar
Yes,Yes,NEW,0,Indiranagar,Casual Dining,"Continental, Italian, North Indian, Chinese","1,000",Dine-out,Indiranagar
No,Yes,NEW,0,Indiranagar,"Casual Dining, Bar","Continental, Asian, Modern Indian","1,700",Dine-out,Indiranagar
No,Yes,NEW,0,Indiranagar,"Casual Dining, Bar","Continental, Asian, Modern Indian","1,700",Dine-out,Indiranagar
No,Yes,4.4/5,953,Indiranagar,"Fine Dining, Bar","Modern Indian, European, American","2,500",Dine-out,Indiranagar
Yes,Yes,NEW,0,Indiranagar,Casual Dining,"Continental, Italian, North Indian, Chinese","1,000",Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,"Biryani, Kebab",200,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,"Biryani, Kebab",200,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Jayanagar
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Jayanagar
Yes,Yes,4.5/5,715,Koramangala 7th Block,Casual Dining,"Italian, Salad","1,500",Delivery,Jayanagar
Yes,Yes,4.5/5,715,Koramangala 7th Block,Casual Dining,"Italian, Salad","1,500",Delivery,Jayanagar
Yes,No,3.8/5,125,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Jayanagar
Yes,No,3.8/5,125,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Jayanagar
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,Jayanagar
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,Jayanagar
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Jayanagar
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Jayanagar
Yes,No,,0,JP Nagar,Delivery,North Indian,500,Delivery,Jayanagar
Yes,No,,0,BTM,Cafe,Cafe,500,Delivery,Jayanagar
Yes,No,,0,BTM,Cafe,Cafe,500,Delivery,Jayanagar
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Jayanagar
Yes,No,3.0/5,39,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Jayanagar
Yes,No,3.4/5,8,BTM,Quick Bites,Fast Food,150,Delivery,Jayanagar
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Jayanagar
Yes,No,3.0/5,39,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Jayanagar
Yes,No,3.4/5,8,BTM,Quick Bites,Fast Food,150,Delivery,Jayanagar
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Desserts,Jayanagar
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Desserts,Jayanagar
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Delivery,JP Nagar
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Delivery,JP Nagar
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,JP Nagar
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,JP Nagar
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Dine-out,JP Nagar
No,No,,0,JP Nagar,Quick Bites,South Indian,200,Dine-out,JP Nagar
No,No,,0,JP Nagar,Quick Bites,South Indian,200,Dine-out,JP Nagar
No,No,,0,JP Nagar,Quick Bites,South Indian,150,Dine-out,JP Nagar
No,No,,0,Bannerghatta Road,Quick Bites,South Indian,200,Dine-out,JP Nagar
No,No,3.6/5,10,Bannerghatta Road,Food Court,"South Indian, Beverages",400,Dine-out,JP Nagar
No,No,,0,Bannerghatta Road,Quick Bites,South Indian,200,Dine-out,JP Nagar
No,No,3.6/5,10,Bannerghatta Road,Food Court,"South Indian, Beverages",400,Dine-out,JP Nagar
No,No,3.6/5,15,Kammanahalli,Quick Bites,Fast Food,300,Delivery,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Delivery,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Delivery,Kalyan Nagar
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Delivery,Kalyan Nagar
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Delivery,Kalyan Nagar
Yes,No,2.9/5,54,Banaswadi,Quick Bites,"Fast Food, Maharashtrian, Rolls",250,Delivery,Kalyan Nagar
No,No,3.6/5,15,Kammanahalli,Quick Bites,Fast Food,300,Delivery,Kalyan Nagar
Yes,No,2.9/5,54,Banaswadi,Quick Bites,"Fast Food, Maharashtrian, Rolls",250,Delivery,Kalyan Nagar
No,No,,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kalyan Nagar
No,No,,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kalyan Nagar
No,No,,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Biryani,200,Dine-out,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Dine-out,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Biryani,200,Dine-out,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Dine-out,Kalyan Nagar
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Dine-out,Kalyan Nagar
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Dine-out,Kalyan Nagar
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Delivery,Kammanahalli
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Delivery,Kammanahalli
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Delivery,Kammanahalli
Yes,No,3.2/5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Delivery,Kammanahalli
No,No,,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kammanahalli
No,No,,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kammanahalli
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Dine-out,Kammanahalli
No,No,,0,Banaswadi,Quick Bites,Fast Food,150,Dine-out,Kammanahalli
Yes,No,3.2 /5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Dine-out,Kammanahalli
No,No,,0,Banaswadi,Quick Bites,Fast Food,150,Dine-out,Kammanahalli
No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Dine-out,Kammanahalli
Yes,No,3.2 /5,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Dine-out,Kammanahalli
No,No,3.8 /5,74,Kengeri,Cafe,"Cafe, Continental",500,Dine-out,Kammanahalli
No,No,3.8 /5,74,Kengeri,Cafe,"Cafe, Continental",500,Dine-out,Kammanahalli
No,No,NEW,0,HSR,Quick Bites,"Biryani, Kebab",600,Delivery,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 4th Block
No,No,NEW,0,HSR,Quick Bites,"Biryani, Kebab",600,Delivery,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 4th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 4th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 4th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 4th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 4th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 4th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 4th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 4th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 4th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Koramangala 5th Block
Yes,No,3.6 /5,15,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 5th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Koramangala 5th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Delivery,Koramangala 5th Block
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Koramangala 5th Block
Yes,No,3.6 /5,15,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 5th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Delivery,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 5th Block
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Koramangala 5th Block
No,No,4.5 /5,733,Koramangala 5th Block,Casual Dining,Mexican,"1,200",Dine-out,Koramangala 5th Block
No,No,4.5 /5,733,Koramangala 5th Block,Casual Dining,Mexican,"1,200",Dine-out,Koramangala 5th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 5th Block
Yes,Yes,4.0 /5,1515,Koramangala 3rd Block,Cafe,"Cafe, Continental",900,Dine-out,Koramangala 5th Block
Yes,Yes,4.0 /5,1515,Koramangala 3rd Block,Cafe,"Cafe, Continental",900,Dine-out,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 5th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"Biryani, Kebab",300,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"Biryani, Kebab",300,Dine-out,Koramangala 5th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 5th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 6th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Delivery,Koramangala 6th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 6th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 6th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 6th Block
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,200,Dine-out,Koramangala 6th Block
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out,Koramangala 6th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 6th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 6th Block
Yes,No,3.6 /5,16,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 7th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Koramangala 7th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Delivery,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,Koramangala 7th Block
Yes,No,3.6 /5,16,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Delivery,Koramangala 7th Block
No,No,,0,Koramangala 4th Block,Delivery,North Indian,300,Delivery,Koramangala 7th Block
No,No,,0,Koramangala 4th Block,Delivery,North Indian,300,Delivery,Koramangala 7th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Desserts,Koramangala 7th Block
Yes,No,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Desserts,Koramangala 7th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 7th Block
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 7th Block
Yes,No,,0,BTM,Quick Bites,North Indian,200,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"Biryani, Kebab",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,Arabian,300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,Arabian,300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"Biryani, Kebab",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,Koramangala 7th Block
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,Koramangala 7th Block
Yes,No,3.9 /5,158,Infantry Road,Casual Dining,"Chinese, Thai, Indonesian","1,300",Buffet,Lavelle Road
Yes,No,3.9 /5,158,Infantry Road,Casual Dining,"Chinese, Thai, Indonesian","1,300",Buffet,Lavelle Road
Yes,No,NEW,0,Banashankari,Quick Bites,"Sandwich, Beverages",200,Delivery,Lavelle Road
Yes,No,NEW,0,Banashankari,Quick Bites,"Sandwich, Beverages",200,Delivery,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Delivery,Lavelle Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Lavelle Road
No,No,NEW,0,Majestic,Quick Bites,South Indian,200,Delivery,Lavelle Road
No,No,NEW,0,Majestic,Quick Bites,South Indian,200,Delivery,Lavelle Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Delivery,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Delivery,Lavelle Road
Yes,Yes,4.3 /5,772,Lavelle Road,Casual Dining,"Rajasthani, North Indian","1,400",Dine-out,Lavelle Road
Yes,Yes,4.3 /5,772,Lavelle Road,Casual Dining,"Rajasthani, North Indian","1,400",Dine-out,Lavelle Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Lavelle Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Lavelle Road
No,No,NEW,0,Majestic,Quick Bites,South Indian,200,Dine-out,Lavelle Road
No,No,NEW,0,Majestic,Quick Bites,South Indian,200,Dine-out,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,,Dine-out,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,,Dine-out,Lavelle Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,City Market,Quick Bites,South Indian,150,Dine-out,Lavelle Road
No,No,,0,Majestic,Quick Bites,South Indian,150,Dine-out,Lavelle Road
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Malleshwaram
Yes,No,,0,Sanjay Nagar,Delivery,North Indian,500,Delivery,Malleshwaram
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Malleshwaram
Yes,No,,0,Sanjay Nagar,Delivery,North Indian,500,Delivery,Malleshwaram
No,No,,0,Malleshwaram,Quick Bites,North Indian,200,Dine-out,Malleshwaram
No,No,,0,Malleshwaram,Quick Bites,North Indian,200,Dine-out,Malleshwaram
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Malleshwaram
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Malleshwaram
No,No,,0,Rajajinagar,Quick Bites,South Indian,250,Dine-out,Malleshwaram
No,No,,0,Marathahalli,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Delivery,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,400,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,400,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,Fast Food,200,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,Fast Food,200,Delivery,Marathahalli
No,No,,0,Marathahalli,Delivery,North Indian,300,Delivery,Marathahalli
No,No,,0,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Marathahalli
Yes,No,,0,Marathahalli,Delivery,North Indian,500,Delivery,Marathahalli
Yes,No,,0,Marathahalli,Delivery,"North Indian, Chinese",600,Delivery,Marathahalli
Yes,No,,0,Marathahalli,Delivery,"North Indian, Chinese",600,Delivery,Marathahalli
Yes,No,,0,Marathahalli,Delivery,North Indian,500,Delivery,Marathahalli
Yes,No,3.7 /5,19,CV Raman Nagar,"Takeaway, Delivery","Andhra, Biryani, North Indian, Beverages",300,Delivery,Marathahalli
Yes,No,3.7 /5,19,CV Raman Nagar,"Takeaway, Delivery","Andhra, Biryani, North Indian, Beverages",300,Delivery,Marathahalli
Yes,Yes,4.1 /5,99,Marathahalli,"Casual Dining, Bar","Continental, Chinese, North Indian","1,100",Dine-out,Marathahalli
Yes,Yes,4.1 /5,99,Marathahalli,"Casual Dining, Bar","Continental, Chinese, North Indian","1,100",Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,"North Indian, Chinese",400,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,Street Food,150,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,200,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,150,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,"North Indian, Chinese",400,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,200,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,200,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,250,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,200,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,400,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,250,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,150,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,South Indian,150,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,400,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,Street Food,150,Dine-out,Marathahalli
No,No,,0,Marathahalli,Quick Bites,North Indian,300,Dine-out,Marathahalli
Yes,No,3.2 /5,88,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery,MG Road
Yes,Yes,4.2 /5,570,Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab","1,200",Delivery,MG Road
Yes,No,3.2 /5,88,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery,MG Road
Yes,Yes,4.2 /5,570,Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab","1,200",Delivery,MG Road
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,MG Road
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,MG Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,MG Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,MG Road
No,No,4.1 /5,1545,Lavelle Road,Pub,"Continental, Steak","1,200",Dine-out,MG Road
No,No,4.1 /5,1545,Lavelle Road,Pub,"Continental, Steak","1,200",Dine-out,MG Road
No,Yes,3.9 /5,312,Residency Road,Fine Dining,"North Indian, Italian, European, Continental","2,000",Dine-out,MG Road
No,Yes,3.9 /5,312,Residency Road,Fine Dining,"North Indian, Italian, European, Continental","2,000",Dine-out,MG Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,MG Road
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,MG Road
No,Yes,4.3 /5,485,Residency Road,"Microbrewery, Casual Dining",Modern Indian,"2,000",Drinks & nightlife,MG Road
No,Yes,4.3 /5,485,Residency Road,"Microbrewery, Casual Dining",Modern Indian,"2,000",Drinks & nightlife,MG Road
No,No,,0,New BEL Road,Quick Bites,South Indian,150,Dine-out,New BEL Road
No,No,,0,New BEL Road,Quick Bites,Fast Food,200,Dine-out,New BEL Road
No,No,,0,New BEL Road,Quick Bites,Fast Food,200,Dine-out,New BEL Road
No,No,,0,New BEL Road,Quick Bites,South Indian,150,Dine-out,New BEL Road
No,No,,0,Old Airport Road,Quick Bites,South Indian,300,Dine-out,Old Airport Road
No,No,,0,Old Airport Road,Quick Bites,South Indian,300,Dine-out,Old Airport Road
No,Yes,4.6 /5,3173,Indiranagar,"Bar, Casual Dining","Chinese, Continental, North Indian, Mexican","1,400",Drinks & nightlife,Old Airport Road
No,Yes,4.3 /5,962,Indiranagar,"Bar, Casual Dining","European, Continental, Asian, Finger Food","1,300",Drinks & nightlife,Old Airport Road
No,Yes,4.6 /5,3173,Indiranagar,"Bar, Casual Dining","Chinese, Continental, North Indian, Mexican","1,400",Drinks & nightlife,Old Airport Road
No,Yes,4.3 /5,962,Indiranagar,"Bar, Casual Dining","European, Continental, Asian, Finger Food","1,300",Drinks & nightlife,Old Airport Road
